CountryA,CountryB,meanScoreA,meanScoreB
Egypt,Morocco,2,2
Egypt,Nigeria,2,2
Egypt,Senegal,1,2
Egypt,Tunisia,3,2
Egypt,Australia,2,2
Egypt,Iran,3,2
Egypt,Japan,2,2
Egypt,Korea Republic,2,2
Egypt,Saudi Arabia,2,2
Egypt,Belgium,1,2
Egypt,Croatia,1,2
Egypt,Denmark,1,2
Egypt,England,1,2
Egypt,France,1,2
Egypt,Germany,1,2
Egypt,Iceland,3,2
Egypt,Poland,1,2
Egypt,Portugal,1,2
Egypt,Russia,2,2
Egypt,Serbia,2,2
Egypt,Spain,1,2
Egypt,Sweden,2,2
Egypt,Switzerland,1,2
Egypt,Costa Rica,3,2
Egypt,Mexico,2,2
Egypt,Panama,3,2
Egypt,Argentina,1,2
Egypt,Brazil,1,2
Egypt,Colombia,2,2
Egypt,Peru,3,2
Egypt,Uruguay,1,2
Morocco,Egypt,2,2
Morocco,Nigeria,2,2
Morocco,Senegal,1,2
Morocco,Tunisia,3,2
Morocco,Australia,2,2
Morocco,Iran,3,2
Morocco,Japan,2,2
Morocco,Korea Republic,2,2
Morocco,Saudi Arabia,2,2
Morocco,Belgium,1,2
Morocco,Croatia,1,2
Morocco,Denmark,1,2
Morocco,England,1,2
Morocco,France,1,2
Morocco,Germany,1,2
Morocco,Iceland,3,2
Morocco,Poland,1,2
Morocco,Portugal,1,2
Morocco,Russia,2,2
Morocco,Serbia,2,2
Morocco,Spain,1,2
Morocco,Sweden,2,2
Morocco,Switzerland,1,2
Morocco,Costa Rica,3,2
Morocco,Mexico,2,2
Morocco,Panama,3,2
Morocco,Argentina,1,2
Morocco,Brazil,1,2
Morocco,Colombia,2,2
Morocco,Peru,3,2
Morocco,Uruguay,1,2
Nigeria,Egypt,2,2
Nigeria,Morocco,2,2
Nigeria,Senegal,1,2
Nigeria,Tunisia,3,2
Nigeria,Australia,2,2
Nigeria,Iran,3,2
Nigeria,Japan,2,2
Nigeria,Korea Republic,2,2
Nigeria,Saudi Arabia,2,2
Nigeria,Belgium,1,2
Nigeria,Croatia,1,2
Nigeria,Denmark,1,2
Nigeria,England,1,2
Nigeria,France,1,2
Nigeria,Germany,1,2
Nigeria,Iceland,3,2
Nigeria,Poland,1,2
Nigeria,Portugal,1,2
Nigeria,Russia,2,2
Nigeria,Serbia,2,2
Nigeria,Spain,1,2
Nigeria,Sweden,2,2
Nigeria,Switzerland,1,2
Nigeria,Costa Rica,3,2
Nigeria,Mexico,2,2
Nigeria,Panama,3,2
Nigeria,Argentina,1,2
Nigeria,Brazil,1,2
Nigeria,Colombia,2,2
Nigeria,Peru,3,2
Nigeria,Uruguay,1,2
Senegal,Egypt,2,1
Senegal,Morocco,2,1
Senegal,Nigeria,2,1
Senegal,Tunisia,3,1
Senegal,Australia,2,1
Senegal,Iran,3,1
Senegal,Japan,2,1
Senegal,Korea Republic,2,1
Senegal,Saudi Arabia,2,1
Senegal,Belgium,1,1
Senegal,Croatia,1,1
Senegal,Denmark,1,1
Senegal,England,1,1
Senegal,France,1,1
Senegal,Germany,1,1
Senegal,Iceland,3,1
Senegal,Poland,1,1
Senegal,Portugal,1,1
Senegal,Russia,2,1
Senegal,Serbia,2,1
Senegal,Spain,1,1
Senegal,Sweden,2,1
Senegal,Switzerland,1,1
Senegal,Costa Rica,3,1
Senegal,Mexico,2,1
Senegal,Panama,3,1
Senegal,Argentina,1,1
Senegal,Brazil,1,1
Senegal,Colombia,2,1
Senegal,Peru,3,1
Senegal,Uruguay,1,1
Tunisia,Egypt,2,3
Tunisia,Morocco,2,3
Tunisia,Nigeria,2,3
Tunisia,Senegal,1,3
Tunisia,Australia,2,3
Tunisia,Iran,3,3
Tunisia,Japan,2,3
Tunisia,Korea Republic,2,3
Tunisia,Saudi Arabia,2,3
Tunisia,Belgium,1,3
Tunisia,Croatia,1,3
Tunisia,Denmark,1,3
Tunisia,England,1,3
Tunisia,France,1,3
Tunisia,Germany,1,3
Tunisia,Iceland,3,3
Tunisia,Poland,1,3
Tunisia,Portugal,1,3
Tunisia,Russia,2,3
Tunisia,Serbia,2,3
Tunisia,Spain,1,3
Tunisia,Sweden,2,3
Tunisia,Switzerland,1,3
Tunisia,Costa Rica,3,3
Tunisia,Mexico,2,3
Tunisia,Panama,3,3
Tunisia,Argentina,1,3
Tunisia,Brazil,1,3
Tunisia,Colombia,2,3
Tunisia,Peru,3,3
Tunisia,Uruguay,1,3
Australia,Egypt,2,2
Australia,Morocco,2,2
Australia,Nigeria,2,2
Australia,Senegal,1,2
Australia,Tunisia,3,2
Australia,Iran,3,2
Australia,Japan,2,2
Australia,Korea Republic,2,2
Australia,Saudi Arabia,2,2
Australia,Belgium,1,2
Australia,Croatia,1,2
Australia,Denmark,1,2
Australia,England,1,2
Australia,France,1,2
Australia,Germany,1,2
Australia,Iceland,3,2
Australia,Poland,1,2
Australia,Portugal,1,2
Australia,Russia,2,2
Australia,Serbia,2,2
Australia,Spain,1,2
Australia,Sweden,2,2
Australia,Switzerland,1,2
Australia,Costa Rica,3,2
Australia,Mexico,2,2
Australia,Panama,3,2
Australia,Argentina,1,2
Australia,Brazil,1,2
Australia,Colombia,2,2
Australia,Peru,3,2
Australia,Uruguay,1,2
Iran,Egypt,2,3
Iran,Morocco,2,3
Iran,Nigeria,2,3
Iran,Senegal,1,3
Iran,Tunisia,3,3
Iran,Australia,2,3
Iran,Japan,2,3
Iran,Korea Republic,2,3
Iran,Saudi Arabia,2,3
Iran,Belgium,1,3
Iran,Croatia,1,3
Iran,Denmark,1,3
Iran,England,1,3
Iran,France,1,3
Iran,Germany,1,3
Iran,Iceland,3,3
Iran,Poland,1,3
Iran,Portugal,1,3
Iran,Russia,2,3
Iran,Serbia,2,3
Iran,Spain,1,3
Iran,Sweden,2,3
Iran,Switzerland,1,3
Iran,Costa Rica,3,3
Iran,Mexico,2,3
Iran,Panama,3,3
Iran,Argentina,1,3
Iran,Brazil,1,3
Iran,Colombia,2,3
Iran,Peru,3,3
Iran,Uruguay,1,3
Japan,Egypt,2,2
Japan,Morocco,2,2
Japan,Nigeria,2,2
Japan,Senegal,1,2
Japan,Tunisia,3,2
Japan,Australia,2,2
Japan,Iran,3,2
Japan,Korea Republic,2,2
Japan,Saudi Arabia,2,2
Japan,Belgium,1,2
Japan,Croatia,1,2
Japan,Denmark,1,2
Japan,England,1,2
Japan,France,1,2
Japan,Germany,1,2
Japan,Iceland,3,2
Japan,Poland,1,2
Japan,Portugal,1,2
Japan,Russia,2,2
Japan,Serbia,2,2
Japan,Spain,1,2
Japan,Sweden,2,2
Japan,Switzerland,1,2
Japan,Costa Rica,3,2
Japan,Mexico,2,2
Japan,Panama,3,2
Japan,Argentina,1,2
Japan,Brazil,1,2
Japan,Colombia,2,2
Japan,Peru,3,2
Japan,Uruguay,1,2
Korea Republic,Egypt,2,2
Korea Republic,Morocco,2,2
Korea Republic,Nigeria,2,2
Korea Republic,Senegal,1,2
Korea Republic,Tunisia,3,2
Korea Republic,Australia,2,2
Korea Republic,Iran,3,2
Korea Republic,Japan,2,2
Korea Republic,Saudi Arabia,2,2
Korea Republic,Belgium,1,2
Korea Republic,Croatia,1,2
Korea Republic,Denmark,1,2
Korea Republic,England,1,2
Korea Republic,France,1,2
Korea Republic,Germany,1,2
Korea Republic,Iceland,3,2
Korea Republic,Poland,1,2
Korea Republic,Portugal,1,2
Korea Republic,Russia,2,2
Korea Republic,Serbia,2,2
Korea Republic,Spain,1,2
Korea Republic,Sweden,2,2
Korea Republic,Switzerland,1,2
Korea Republic,Costa Rica,3,2
Korea Republic,Mexico,2,2
Korea Republic,Panama,3,2
Korea Republic,Argentina,1,2
Korea Republic,Brazil,1,2
Korea Republic,Colombia,2,2
Korea Republic,Peru,3,2
Korea Republic,Uruguay,1,2
Saudi Arabia,Egypt,2,2
Saudi Arabia,Morocco,2,2
Saudi Arabia,Nigeria,2,2
Saudi Arabia,Senegal,1,2
Saudi Arabia,Tunisia,3,2
Saudi Arabia,Australia,2,2
Saudi Arabia,Iran,3,2
Saudi Arabia,Japan,2,2
Saudi Arabia,Korea Republic,2,2
Saudi Arabia,Belgium,1,2
Saudi Arabia,Croatia,1,2
Saudi Arabia,Denmark,1,2
Saudi Arabia,England,1,2
Saudi Arabia,France,1,2
Saudi Arabia,Germany,1,2
Saudi Arabia,Iceland,3,2
Saudi Arabia,Poland,1,2
Saudi Arabia,Portugal,1,2
Saudi Arabia,Russia,2,2
Saudi Arabia,Serbia,2,2
Saudi Arabia,Spain,1,2
Saudi Arabia,Sweden,2,2
Saudi Arabia,Switzerland,1,2
Saudi Arabia,Costa Rica,3,2
Saudi Arabia,Mexico,2,2
Saudi Arabia,Panama,3,2
Saudi Arabia,Argentina,1,2
Saudi Arabia,Brazil,1,2
Saudi Arabia,Colombia,2,2
Saudi Arabia,Peru,3,2
Saudi Arabia,Uruguay,1,2
Belgium,Egypt,2,1
Belgium,Morocco,2,1
Belgium,Nigeria,2,1
Belgium,Senegal,1,1
Belgium,Tunisia,3,1
Belgium,Australia,2,1
Belgium,Iran,3,1
Belgium,Japan,2,1
Belgium,Korea Republic,2,1
Belgium,Saudi Arabia,2,1
Belgium,Croatia,1,1
Belgium,Denmark,1,1
Belgium,England,1,1
Belgium,France,1,1
Belgium,Germany,1,1
Belgium,Iceland,3,1
Belgium,Poland,1,1
Belgium,Portugal,1,1
Belgium,Russia,2,1
Belgium,Serbia,2,1
Belgium,Spain,1,1
Belgium,Sweden,2,1
Belgium,Switzerland,1,1
Belgium,Costa Rica,3,1
Belgium,Mexico,2,1
Belgium,Panama,3,1
Belgium,Argentina,1,1
Belgium,Brazil,1,1
Belgium,Colombia,2,1
Belgium,Peru,3,1
Belgium,Uruguay,1,1
Croatia,Egypt,2,1
Croatia,Morocco,2,1
Croatia,Nigeria,2,1
Croatia,Senegal,1,1
Croatia,Tunisia,3,1
Croatia,Australia,2,1
Croatia,Iran,3,1
Croatia,Japan,2,1
Croatia,Korea Republic,2,1
Croatia,Saudi Arabia,2,1
Croatia,Belgium,1,1
Croatia,Denmark,1,1
Croatia,England,1,1
Croatia,France,1,1
Croatia,Germany,1,1
Croatia,Iceland,3,1
Croatia,Poland,1,1
Croatia,Portugal,1,1
Croatia,Russia,2,1
Croatia,Serbia,2,1
